Language	Concept	Value	Forms
Lotha_1	Thirty two	tʰumrɔ eni	tʰumrɔ eni
Lotha_1	Thirty three	tʰumrɔ etʰəm	tʰumrɔ etʰəm
Lotha_1	Thirty four	tʰumrɔ meɹz	tʰumrɔ meɹz
Lotha_1	Thirty five	tʰumrɔ moŋo	tʰumrɔ moŋo
Lotha_1	Thirty six	tʰumrɔ tirokʰ	tʰumrɔ tirokʰ
Lotha_1	Thirty seven	tʰumrɔ tiĩŋ	tʰumrɔ tiĩŋ
Lotha_1	Thirty eight	tʰumrɔ tizɑ	tʰumrɔ tizɑ
Lotha_1	Thirty nine	tʰumrɔ topʰʋə	tʰumrɔ topʰʋə
Lotha_1	Forty	zərɔ	zərɔ
Lotha_1	Forty one	zərɔ ekʰɑ	zərɔ ekʰɑ
Lotha_1	Forty two	zərɔ eni	zərɔ eni
Lotha_1	Forty three	zərɔ etʰəm	zərɔ etʰəm
Lotha_1	Forty four	zərɔ meɹz	zərɔ meɹz
Lotha_1	Forty five	zərɔ moŋo	zərɔ moŋo
Lotha_1	Forty six	zərɔ tirokʰ	zərɔ tirokʰ
Lotha_1	Forty seven	zərɔ tiĩŋ	zərɔ tiĩŋ
Lotha_1	Forty eight	zərɔ tizɑ	zərɔ tizɑ
Lotha_1	Forty nine	zərɔ topʰʋə	zərɔ topʰʋə
Lotha_1	Fifty	tinjɑ̃	tinjɑ̃
Lotha_1	Fifty one	tinjẽ kʰɑ	tinjẽ kʰɑ
Lotha_1	Fifty two	tinjẽ ni	tinjẽ ni
Lotha_1	Fifty three	tinjẽ tʰəm	tinjẽ tʰəm
Lotha_1	Fifty four	tinjẽ meɹz	tinjẽ meɹz
Lotha_1	Fifty five	tinjẽ moŋo	tinjẽ moŋo
Lotha_1	Fifty six	tinjẽ tirokʰ	tinjẽ tirokʰ
Lotha_1	Fifty seven	tinjẽ tiĩŋ	tinjẽ tiĩŋ
Lotha_1	Fifty eight	tinjẽ tizɑ	tinjẽ tizɑ
Lotha_1	Fifty nine	tinjẽ topʰʋə	tinjẽ topʰʋə
Lotha_1	Sixty	rokro	rokro
Lotha_1	Sixty one	rokro ekʰɑ	rokro ekʰɑ
Lotha_1	Sixty two	rokro eni	rokro eni
Lotha_1	Sixty three	rokro etʰəm	rokro etʰəm
Lotha_1	Sixty four	rokro meɹz	rokro meɹz
Lotha_1	Sixty five	rokro moŋo	rokro moŋo
Lotha_1	Sixty six	rokro tirokʰ	rokro tirokʰ
Lotha_1	Sixty seven	rokro tiĩŋ	rokro tiĩŋ
Lotha_1	Sixty eight	rokro tizɑ	rokro tizɑ
Lotha_1	Sixty nine	rokro topʰʋə	rokro topʰʋə
Lotha_1	Seventy	ekʰɑtiĩŋ	ekʰɑtiĩŋ
Lotha_1	Seventy one	ekʰɑtiĩŋ se kʰɑ	ekʰɑtiĩŋ se kʰɑ
Lotha_1	Seventy two	ekʰɑtiĩŋ se ni	ekʰɑtiĩŋ se ni
Lotha_1	Seventy three	ekʰɑtiĩŋ se tʰəm	ekʰɑtiĩŋ se tʰəm
Lotha_1	Seventy four	ekʰɑtiĩŋ se meɹz	ekʰɑtiĩŋ se meɹz
Lotha_1	Seventy five	ekʰɑtiĩŋ se moŋo	ekʰɑtiĩŋ se moŋo
Lotha_1	Seventy six	ekʰɑtiĩŋ se tirokʰ	ekʰɑtiĩŋ se tirokʰ
Lotha_1	Seventy seven	ekʰɑtiĩŋ se tiĩŋ	ekʰɑtiĩŋ se tiĩŋ
Lotha_1	Seventy eight	ekʰɑtiĩŋ se tizɑ	ekʰɑtiĩŋ se tizɑ
Lotha_1	Seventy nine	ekʰɑtiĩŋ se topʰʋə	ekʰɑtiĩŋ se topʰʋə
Lotha_1	Eighty	ekʰɑtizɑ	ekʰɑtizɑ
Lotha_1	Eighty one	ekʰɑtizɑ se kʰɑ	ekʰɑtizɑ se kʰɑ
Lotha_1	Eighty two	ekʰɑtizɑ se ni	ekʰɑtizɑ se ni
Lotha_1	Eighty three	ekʰɑtizɑ se tʰəm	ekʰɑtizɑ se tʰəm
Lotha_1	Eighty four	ekʰɑtizɑ se meɹz	ekʰɑtizɑ se meɹz
Lotha_1	Eighty five	ekʰɑtizɑ se moŋo	ekʰɑtizɑ se moŋo
Lotha_1	Eighty six	ekʰɑtizɑ se tirokʰ	ekʰɑtizɑ se tirokʰ
Lotha_1	Eighty seven	ekʰɑtizɑ se tiĩŋ	ekʰɑtizɑ se tiĩŋ
Lotha_1	Eighty eight	ekʰɑtizɑ se tizɑ	ekʰɑtizɑ se tizɑ
Lotha_1	Eighty nine	ekʰɑtizɑ se topʰʋə	ekʰɑtizɑ se topʰʋə
Lotha_1	Ninety	ekʰɑtopʰʋə	ekʰɑtopʰʋə
Lotha_1	Ninety one	ekʰɑtopʰʋə se kʰɑ	ekʰɑtopʰʋə se kʰɑ
Lotha_1	Ninety two	ekʰɑtopʰʋə se ni	ekʰɑtopʰʋə se ni
Lotha_1	Ninety three	ekʰɑtopʰʋə se tʰəm	ekʰɑtopʰʋə se tʰəm
Lotha_1	Ninety four	ekʰɑtopʰʋə se meɹz	ekʰɑtopʰʋə se meɹz
Lotha_1	Ninety five	ekʰɑtopʰʋə se moŋo	ekʰɑtopʰʋə se moŋo
Lotha_1	Ninety six	ekʰɑtopʰʋə se tirokʰ	ekʰɑtopʰʋə se tirokʰ
Lotha_1	Ninety seven	ekʰɑtopʰʋə se tiĩŋ	ekʰɑtopʰʋə se tiĩŋ
Lotha_1	Ninety eight	ekʰɑtopʰʋə se tizɑ	ekʰɑtopʰʋə se tizɑ
Lotha_1	Ninety nine	ekʰɑtopʰʋə se topʰʋə	ekʰɑtopʰʋə se topʰʋə
Lotha_1	Hundred	mzʋɑ	mzʋɑ
Lotha_1	Thousand	otʰəm mocəŋɑ	otʰəm mocəŋɑ
Lotha_1	Lakh	otʰəm mzʋɑ	otʰəm mzʋɑ
Lotha_1	One Million	kənɑ	kənɑ
Lotha_1	Crore	kənɑ tɑro	kənɑ tɑro
Lotha_1	Billion	koŋdoŋ	koŋdoŋ
Lotha_1	One hundred	mzʋɑ	mzʋɑ
Lotha_1	Two hundred	mzʋo eni	mzʋo eni
Lotha_1	Three hundred	mzʋo etʰəm	mzʋo etʰəm
Lotha_1	Four hundred	mzʋo meɹz	mzʋo meɹz
Lotha_1	Five hundred	mzʋo moŋo	mzʋo moŋo
Lotha_1	Six hundred	mzʋo tirokʰ	mzʋo tirokʰ
Lotha_1	One thousand	otʰəŋ mocəŋɑ	otʰəŋ mocəŋɑ
Lotha_1	Two thousand	otʰəŋ eni	otʰəŋ eni
Lotha_1	Three thousand	otʰəŋ etʰəm	otʰəŋ etʰəm
Lotha_1	Four thousand	otʰəŋ meɹz	otʰəŋ meɹz
Lotha_1	Five thousand	otʰəŋ moŋo	otʰəŋ moŋo
Lotha_1	Six thousand	otʰəŋ tirokʰ	otʰəŋ tirokʰ
Lotha_1	Two hundred twenty one	inzo eni sə mikʰje ekʰɑ	inzo eni sə mikʰje ekʰɑ
Lotha_1	Five hundred six	inzo moŋo sə tirokʰ	inzo moŋo sə tirokʰ
Lotha_1	Three thousand forty eight	otʰəŋ etʰəm sə zərɔ tizɑ	otʰəŋ etʰəm sə zərɔ tizɑ
Lotha_1	Six thousand nine hundred	otʰəŋ tirokʰ sə inzo topʰʋə	otʰəŋ tirokʰ sə inzo topʰʋə
Lotha_1	Seven thousand four hundred twenty two	otʰəŋ tiĩŋ sə inzo meɹz sə mikʰjə eni	otʰəŋ tiĩŋ sə inzo meɹz sə mikʰjə eni
Lotha_1	Six thousand eight	otʰəŋ tirokʰ sə tizɑ	otʰəŋ tirokʰ sə tizɑ
			
Rongmei	One	əkʰət	əkʰət
Rongmei	Two	kənəi	kənəi
Rongmei	Three	kətʰum	kətʰum
Rongmei	Four	pədəi	pədəi
Rongmei	Five	pəŋu	pəŋu
Rongmei	Six	cəruk	cəruk
Rongmei	Seven	cənəi	cənəi
Rongmei	Eight	təcət	təcət
Rongmei	Nine	cəkju	cəkju
Rongmei	Ten	ru	ru
Rongmei	Eleven	runəkʰət	runəkʰət
Rongmei	Twelve	runəkənəi	runəkənəi
Rongmei	Thirteen	runəkətʰum	runəkətʰum
Rongmei	Fourteen	runəpədəi	runəpədəi
Rongmei	Fifteen	runəpəŋu	runəpəŋu
Rongmei	Sixteen	runəcəruk	runəcəruk
Rongmei	Seventeen	runəcənəi	runəcənəi
Rongmei	Eighteen	runətəcət	runətəcət
Rongmei	Nineteen	runəcəkju	runəcəkju
Rongmei	Twenty	cʋi	cʋi
Rongmei	Twenty One	cʋinəkʰət	cʋinəkʰət
Rongmei	Twenty two	cʋinəkənəi	cʋinəkənəi
Rongmei	Twenty three	cʋinəkətʰum	cʋinəkətʰum
Rongmei	Twenty four	cʋinəpədəi	cʋinəpədəi
Rongmei	Twenty five	cʋinəpəŋu	cʋinəpəŋu
Rongmei	Twenty six	cʋinəcəruk	cʋinəcəruk
Rongmei	Twenty seven	cʋinəcənəi	cʋinəcənəi
Rongmei	Twenty eight	cʋinətəcət	cʋinətəcət
Rongmei	Twenty nine	cʋinəcəkju	cʋinəcəkju
Rongmei	Thirty	tʰumru	tʰumru
Rongmei	Thirty one	tʰumrunəkʰət	tʰumrunəkʰət
Rongmei	Thirty two	tʰumrunəkənəi	tʰumrunəkənəi
Rongmei	Thirty three	tʰumrunəkətʰum	tʰumrunəkətʰum
Rongmei	Thirty four	tʰumrunəpədəi	tʰumrunəpədəi
Rongmei	Thirty five	tʰumrunəpəŋu	tʰumrunəpəŋu
Rongmei	Thirty six	tʰumrunəcəruk	tʰumrunəcəruk
Rongmei	Thirty seven	tʰumrunəcənəi	tʰumrunəcənəi
Rongmei	Thirty eight	tʰumrunətəcət	tʰumrunətəcət
Rongmei	Thirty nine	tʰumrunəcəkju	tʰumrunəcəkju
Rongmei	Forty	riɡdəi	riɡdəi
Rongmei	Forty one	riɡdəinəkʰət	riɡdəinəkʰət
Rongmei	Forty two	riɡdəinəkənəi	riɡdəinəkənəi
Rongmei	Forty three	riɡdəinəkətʰum	riɡdəinəkətʰum
Rongmei	Forty four	riɡdəinəpədəi	riɡdəinəpədəi
Rongmei	Forty five	riɡdəinəpəŋu	riɡdəinəpəŋu
Rongmei	Forty six	riɡdəinəcəruk	riɡdəinəcəruk
Rongmei	Forty seven	riɡdəinəcənəi	riɡdəinəcənəi
Rongmei	Forty eight	riɡdəinətəcət	riɡdəinətəcət
Rongmei	Forty nine	riɡdəinəcəkju	riɡdəinəcəkju
Rongmei	Fifty	riŋu	riŋu
Rongmei	Fifty one	riŋunəkʰət	riŋunəkʰət
Rongmei	Fifty two	riŋunəkənəi	riŋunəkənəi
Rongmei	Fifty three	riŋunəkətʰum	riŋunəkətʰum
Rongmei	Fifty four	riŋunəpədəi	riŋunəpədəi
Rongmei	Fifty five	riŋunəpəŋu	riŋunəpəŋu
Rongmei	Fifty six	riŋunəcəruk	riŋunəcəruk
Rongmei	Fifty seven	riŋunəcənəi	riŋunəcənəi
Rongmei	Fifty eight	riŋunətəcət	riŋunətəcət
Rongmei	Fifty nine	riŋunəcəkju	riŋunəcəkju
Rongmei	Sixty	riɡcəruk	riɡcəruk
Rongmei	Sixty one	riɡcəruknəəkʰət	riɡcəruknəəkʰət
Rongmei	Sixty two	riɡcəruknəkənəi	riɡcəruknəkənəi
Rongmei	Sixty three	riɡcəruknəkətʰum	riɡcəruknəkətʰum
Rongmei	Sixty four	riɡcəruknəpədəi	riɡcəruknəpədəi
Rongmei	Sixty five	riɡcəruknəpəŋu	riɡcəruknəpəŋu
Rongmei	Sixty six	riɡcəruknəcəruk	riɡcəruknəcəruk
Rongmei	Sixty seven	riɡcəruknəcənəi	riɡcəruknəcənəi
Rongmei	Sixty eight	riɡcəruknətəcət	riɡcəruknətəcət
Rongmei	Sixty nine	riɡcəruknəcəkju	riɡcəruknəcəkju
Rongmei	Seventy	riɡcənəi	riɡcənəi
Rongmei	Seventy one	riɡcənəinəkʰət	riɡcənəinəkʰət
Rongmei	Seventy two	riɡcənəinəkənəi	riɡcənəinəkənəi
Rongmei	Seventy three	riɡcənəinəkətʰum	riɡcənəinəkətʰum
Rongmei	Seventy four	riɡcənəinəpədəi	riɡcənəinəpədəi
Rongmei	Seventy five	riɡcənəinəpəŋu	riɡcənəinəpəŋu
Rongmei	Seventy six	riɡcənəinəcəruk	riɡcənəinəcəruk
Rongmei	Seventy seven	riɡcənəinəcənəi	riɡcənəinəcənəi
Rongmei	Seventy eight	riɡcənəinətəcət	riɡcənəinətəcət
Rongmei	Seventy nine	riɡcənəinəcəkju	riɡcənəinəcəkju
Rongmei	Eighty	riɡtəcət	riɡtəcət
Rongmei	Eighty one	riɡtəcətnəkʰət	riɡtəcətnəkʰət
Rongmei	Eighty two	riɡtəcətnəkənəi	riɡtəcətnəkənəi
Rongmei	Eighty three	riɡtəcətnəkətʰum	riɡtəcətnəkətʰum
Rongmei	Eighty four	riɡtəcətnəpədəi	riɡtəcətnəpədəi
Rongmei	Eighty five	riɡtəcətnəpəŋu	riɡtəcətnəpəŋu
Rongmei	Eighty six	riɡtəcətnəcəruk	riɡtəcətnəcəruk
Rongmei	Eighty seven	riɡtəcətnəcənəi	riɡtəcətnəcənəi
Rongmei	Eighty eight	riɡtəcətnətəcət	riɡtəcətnətəcət
Rongmei	Eighty nine	riɡtəcətnəcəkju	riɡtəcətnəcəkju
Rongmei	Ninety	riɡcəkju	riɡcəkju
Rongmei	Ninety one	riɡcəkjunəkʰət	riɡcəkjunəkʰət
Rongmei	Ninety two	riɡcəkjunəkənəi	riɡcəkjunəkənəi
Rongmei	Ninety three	riɡcəkjunəkətʰum	riɡcəkjunəkətʰum
Rongmei	Ninety four	riɡcəkjunəpədəi	riɡcəkjunəpədəi
Rongmei	Ninety five	riɡcəkjunəpəŋu	riɡcəkjunəpəŋu
Rongmei	Ninety six	riɡcəkjunəcəruk	riɡcəkjunəcəruk
Rongmei	Ninety seven	riɡcəkjunəcənəi	riɡcəkjunəcənəi
Rongmei	Ninety eight	riɡcəkjunətəcət	riɡcəkjunətəcət
Rongmei	Ninety nine	riɡcəkjunəcəkju	riɡcəkjunəcəkju
Rongmei	Hundred	pʰɑe kʰət	pʰɑe kʰət
Rongmei	Hundred	pʰɑe	pʰɑe
Rongmei	Thousand	ciŋ kʰət	ciŋ kʰət
Rongmei	Lakh	lɑ kʰət	lɑ kʰət
Rongmei	One Million	miliən kʰət	miliən kʰət
Rongmei	Crore	kror kʰət	kror kʰət
Rongmei	Billion	biliən kʰət	biliən kʰət
Rongmei	One hundred	pʰɑekʰət	pʰɑekʰət
Rongmei	Two hundred	pʰɑenəi	pʰɑenəi
Rongmei	Three hundred	pʰɑetʰum	pʰɑetʰum
Rongmei	Four hundred	pʰɑepədəi	pʰɑepədəi
Rongmei	Five hundred	pʰɑepəŋu	pʰɑepəŋu
Rongmei	Six hundred	pʰɑecəruk	pʰɑecəruk
Rongmei	One thousand	ciŋkʰət	ciŋkʰət
Rongmei	Two thousand	ciŋnəi	ciŋnəi
Rongmei	Three thousand	ciŋtʰum	ciŋtʰum
Rongmei	Four thousand	ciŋpədəi	ciŋpədəi
Rongmei	Five thousand	ciŋpəŋu	ciŋpəŋu
Rongmei	Six thousand	ciŋcəruk	ciŋcəruk
Rongmei	Two hundred twenty one	pʰɑenəi nə cʋinəkʰət	pʰɑenəi nə cʋinəkʰət
Rongmei	Five hundred six	pʰɑepəŋu nə cəruk	pʰɑepəŋu nə cəruk
Rongmei	Three thousand forty eight	ciŋtʰum nə riɡdəinətəcət	ciŋtʰum nə riɡdəinətəcət
Rongmei	Six thousand nine hundred	ciŋcəruk nə pʰɑecəkju	ciŋcəruk nə pʰɑecəkju
Rongmei	Seven thousand four hundred twenty two	ciŋcənəi nə pʰɑepədəi nə cʋinəkənəi	ciŋcənəi nə pʰɑepədəi nə cʋinəkənəi
Rongmei	Six thousand eight	ciŋcəruk nə təcət	ciŋcəruk nə təcət
			
Angami	One	puʋo	puʋo
Angami	Two	kenɨje	kenɨje
Angami	Three	sɛʰ	sɛʰ
Angami	Four	dɨjeh	dɨjeh
Angami	Five	peŋu	peŋu
Angami	Six	sɔruʰ	sɔruʰ
Angami	Seven	tʰenije	tʰenije
Angami	Eight	tʰɛtʰɑ	tʰɛtʰɑ
Angami	Nine	tʰɛθ	tʰɛθ
Angami	Ten	kɛrə	kɛrə
Angami	Eleven	kɛrəpo	kɛrəpo
Angami	Twelve	kɛrəkenɨje	kɛrəkenɨje
Angami	Thirteen	kɛrəsɛʰ	kɛrəsɛʰ
Angami	Fourteen	kɛrədɨjeh	kɛrədɨjeh
Angami	Fifteen	kɛrəpeŋu	kɛrəpeŋu
Angami	Sixteen	kɛrəsɔruʰ	kɛrəsɔruʰ
Angami	Seventeen	kɛrətʰenije	kɛrətʰenije
Angami	Eighteen	kɛrətʰɛtʰɑ	kɛrətʰɛtʰɑ
Angami	Nineteen	kɛrətʰɛθ	kɛrətʰɛθ
Angami	Twenty	mɛθə	mɛθə
Angami	Twenty One	mɛθəpo	mɛθəpo
Angami	Twenty two	mɛθəkenɨje	mɛθəkenɨje
Angami	Twenty three	mɛθəsɛʰ	mɛθəsɛʰ
Angami	Twenty four	mɛθədɨjeh	mɛθədɨjeh
Angami	Twenty five	mɛθəpeŋu	mɛθəpeŋu
Angami	Twenty six	mɛθəsɔruʰ	mɛθəsɔruʰ
Angami	Twenty seven	mɛθətʰenije	mɛθətʰenije
Angami	Twenty eight	mɛθətʰɛtʰɑ	mɛθətʰɛtʰɑ
Angami	Twenty nine	mɛθətʰɛθ	mɛθətʰɛθ
Angami	Thirty	sɛrəɹ	sɛrəɹ
Angami	Thirty one	sɛrəpo	sɛrəpo
Angami	Thirty two	sɛrəkenɨje	sɛrəkenɨje
Angami	Thirty three	sɛrəsɛʰ	sɛrəsɛʰ
Angami	Thirty four	sɛrədɨjeh	sɛrədɨjeh
Angami	Thirty five	sɛrəpeŋu	sɛrəpeŋu
Angami	Thirty six	sɛrəsɔruʰ	sɛrəsɔruʰ
Angami	Thirty seven	sɛrətʰenije	sɛrətʰenije
Angami	Thirty eight	sɛrətʰɛtʰɑ	sɛrətʰɛtʰɑ
Angami	Thirty nine	sɛrətʰɛθ	sɛrətʰɛθ
Angami	Forty	hɛdijeʰ	hɛdijeʰ
Angami	Forty one	hɛdijepo	hɛdijepo
Angami	Forty two	hɛdijekenɨje	hɛdijekenɨje
Angami	Forty three	hɛdijesɛʰ	hɛdijesɛʰ
Angami	Forty four	hɛdijedɨjeh	hɛdijedɨjeh
Angami	Forty five	hɛdijepeŋu	hɛdijepeŋu
Angami	Forty six	hɛdijesɔruʰ	hɛdijesɔruʰ
Angami	Forty seven	hɛdijetʰenije	hɛdijetʰenije
Angami	Forty eight	hɛdijetʰɛtʰɑ	hɛdijetʰɛtʰɑ
Angami	Forty nine	hɛdijetʰɛθ	hɛdijetʰɛθ
Angami	Fifty	hɛpeŋu	hɛpeŋu
Angami	Fifty one	hɛpeŋuʋopo	hɛpeŋuʋopo
Angami	Fifty two	hɛpeŋuʋokenɨje	hɛpeŋuʋokenɨje
Angami	Fifty three	hɛpeŋuʋosɛʰ	hɛpeŋuʋosɛʰ
Angami	Fifty four	hɛpeŋuʋodɨjeh	hɛpeŋuʋodɨjeh
Angami	Fifty five	hɛpeŋuʋopeŋu	hɛpeŋuʋopeŋu
Angami	Fifty six	hɛpeŋuʋosɔruʰ	hɛpeŋuʋosɔruʰ
Angami	Fifty seven	hɛpeŋuʋotʰenije	hɛpeŋuʋotʰenije
Angami	Fifty eight	hɛpeŋuʋotʰɛtʰɑ	hɛpeŋuʋotʰɛtʰɑ
Angami	Fifty nine	hɛpeŋuʋotʰɛθ	hɛpeŋuʋotʰɛθ
Angami	Sixty	hɛsoru	hɛsoru
Angami	Sixty one	hɛsoruʋopo	hɛsoruʋopo
Angami	Sixty two	hɛsoruʋokenɨje	hɛsoruʋokenɨje
Angami	Sixty three	hɛsoruʋosɛʰ	hɛsoruʋosɛʰ
Angami	Sixty four	hɛsoruʋodɨjeh	hɛsoruʋodɨjeh
Angami	Sixty five	hɛsoruʋopeŋu	hɛsoruʋopeŋu
Angami	Sixty six	hɛsoruʋosɔruʰ	hɛsoruʋosɔruʰ
Angami	Sixty seven	hɛsoruʋotʰenije	hɛsoruʋotʰenije
Angami	Sixty eight	hɛsoruʋotʰɛtʰɑ	hɛsoruʋotʰɛtʰɑ
Angami	Sixty nine	hɛsoruʋotʰɛθ	hɛsoruʋotʰɛθ
Angami	Seventy	hɛtʰenije	hɛtʰenije
Angami	Seventy one	hɛtʰenijepo	hɛtʰenijepo
Angami	Seventy two	hɛtʰenijekenɨje	hɛtʰenijekenɨje
Angami	Seventy three	hɛtʰenijesɛʰ	hɛtʰenijesɛʰ
Angami	Seventy four	hɛtʰenijedɨjeh	hɛtʰenijedɨjeh
Angami	Seventy five	hɛtʰenijepeŋu	hɛtʰenijepeŋu
Angami	Seventy six	hɛtʰenijesɔruʰ	hɛtʰenijesɔruʰ
Angami	Seventy seven	hɛtʰenijetʰenije	hɛtʰenijetʰenije
Angami	Seventy eight	hɛtʰenijetʰɛtʰɑ	hɛtʰenijetʰɛtʰɑ
Angami	Seventy nine	hɛtʰenijetʰɛθ	hɛtʰenijetʰɛθ
Angami	Eighty	hɛtʰɛtʰɑ	hɛtʰɛtʰɑ
Angami	Eighty one	hɛtʰɛtʰɑpo	hɛtʰɛtʰɑpo
Angami	Eighty two	hɛtʰɛtʰɑkenɨje	hɛtʰɛtʰɑkenɨje
Angami	Eighty three	hɛtʰɛtʰɑsɛʰ	hɛtʰɛtʰɑsɛʰ
Angami	Eighty four	hɛtʰɛtʰɑdɨjeh	hɛtʰɛtʰɑdɨjeh
Angami	Eighty five	hɛtʰɛtʰɑpeŋu	hɛtʰɛtʰɑpeŋu
Angami	Eighty six	hɛtʰɛtʰɑsɔruʰ	hɛtʰɛtʰɑsɔruʰ
Angami	Eighty seven	hɛtʰɛtʰɑtʰenije	hɛtʰɛtʰɑtʰenije
Angami	Eighty eight	hɛtʰɛtʰɑtʰɛtʰɑ	hɛtʰɛtʰɑtʰɛtʰɑ
Angami	Eighty nine	hɛtʰɛtʰɑtʰɛθ	hɛtʰɛtʰɑtʰɛθ
Angami	Ninety	hɛtʰɛθ	hɛtʰɛθ
Angami	Ninety one	hɛtʰɛθpo	hɛtʰɛθpo
Angami	Ninety two	hɛtʰɛθkenɨje	hɛtʰɛθkenɨje
Angami	Ninety three	hɛtʰɛθsɛʰ	hɛtʰɛθsɛʰ
Angami	Ninety four	hɛtʰɛθdɨjeh	hɛtʰɛθdɨjeh
Angami	Ninety five	hɛtʰɛθpeŋu	hɛtʰɛθpeŋu
Angami	Ninety six	hɛtʰɛθsɔruʰ	hɛtʰɛθsɔruʰ
Angami	Ninety seven	hɛtʰɛθtʰenije	hɛtʰɛθtʰenije
Angami	Ninety eight	hɛtʰɛθtʰɛtʰɑ	hɛtʰɛθtʰɛtʰɑ
Angami	Ninety nine	hɛtʰɛθtʰɛθ	hɛtʰɛθtʰɛθ
Angami	Hundred	krepuʋo	krepuʋo
Angami	Thousand	ɳjepuʋo	ɳjepuʋo
Angami	Lakh	ɳjekrepuʋo	ɳjekrepuʋo
Angami	One Million	-	-
Angami	Crore	-	-
Angami	Billion	-	-
Angami	One hundred	krepuʋo	krepuʋo
Angami	Two hundred	krekenɨje	krekenɨje
Angami	Three hundred	kresɛʰ	kresɛʰ
Angami	Four hundred	kredɨjeh	kredɨjeh
Angami	Five hundred	krepeŋu	krepeŋu
Angami	Six hundred	kresɔruʰ	kresɔruʰ
Angami	One thousand	ɳjepuʋo	ɳjepuʋo
Angami	Two thousand	ɳjekenɨje	ɳjekenɨje
Angami	Three thousand	ɳjesɛʰ	ɳjesɛʰ
Angami	Four thousand	ɳjedɨjeh	ɳjedɨjeh
Angami	Five thousand	ɳjepeŋu	ɳjepeŋu
Angami	Six thousand	ɳjesɔruʰ	ɳjesɔruʰ
Angami	Two hundred twenty one	krekenɨje di mɛθə puʋo	krekenɨje di mɛθə puʋo
Angami	Five hundred six	krepeŋu di sɔru	krepeŋu di sɔru
Angami	Three thousand forty eight	ɳjesɛ di hɛdɨje tʰetʰɑ	ɳjesɛ di hɛdɨje tʰetʰɑ
Angami	Six thousand nine hundred	ɳjesɔru di kretʰɛθ	ɳjesɔru di kretʰɛθ
Angami	Seven thousand four hundred twenty two	ɳjetʰenije di kredɨje di mɛθ kenɨje	ɳjetʰenije di kredɨje di mɛθ kenɨje
Angami	Six thousand eight	ɳje sɔru di tʰetʰɑ	ɳje sɔru di tʰetʰɑ
			
Jad	One	cik	cik
Jad	Two	niʰ	niʰ
Jad	Three	sum	sum
Jad	Four	zi	zi
Jad	Five	ŋɑ	ŋɑ
Jad	Six	ʈuk	ʈuk
Jad	Seven	dun	dun
Jad	Eight	ɡjət	ɡjət
Jad	Nine	ɡu	ɡu
Jad	Ten	cu	cu
Jad	Eleven	cukcik	cukcik
Jad	Twelve	cuŋiʰ	cuŋiʰ
Jad	Thirteen	cuksum	cuksum
Jad	Fourteen	cubɟi	cubɟi
Jad	Fifteen	cɑŋɑ	cɑŋɑ
Jad	Sixteen	curuk	curuk
Jad	Seventeen	cubdun	cubdun
Jad	Eighteen	cɔpɡjət	cɔpɡjət
Jad	Nineteen	curɡu	curɡu
Jad	Twenty	niʃu	niʃu
Jad	Twenty One	nicəkʃik	nicəkʃik
Jad	Twenty two	niceŋi	niceŋi
Jad	Twenty three	nicəksum	nicəksum
Jad	Twenty four	nicəbzi	nicəbzi
Jad	Twenty five	nicɑŋɑ	nicɑŋɑ
Jad	Twenty six	nicɛrok	nicɛrok
Jad	Twenty seven	nicəpdun	nicəpdun
Jad	Twenty eight	nicɔbɡjet	nicɔbɡjet
Jad	Twenty nine	nicerɡu	nicerɡu
Jad	Thirty	sumɟu	sumɟu
Jad	Thirty one	sumɟusɔʃik	sumɟusɔʃik
Jad	Thirty two	sumɟusɔniʰ	sumɟusɔniʰ
Jad	Thirty three	sumɟusɔksum	sumɟusɔksum
Jad	Thirty four	sumɟusɔbzi	sumɟusɔbzi
Jad	Thirty five	sumɟusɔŋɑ	sumɟusɔŋɑ
Jad	Thirty six	sumɟusɛrok	sumɟusɛrok
Jad	Thirty seven	sumɟusəbdun	sumɟusəbdun
Jad	Thirty eight	sumɟusɔbɡjet	sumɟusɔbɡjet
Jad	Thirty nine	sumɟuserɡu	sumɟuserɡu
Jad	Forty	zipcu	zipcu
Jad	Forty one	zipcusəkʃik	zipcusəkʃik
Jad	Forty two	zipcusɛŋi	zipcusɛŋi
Jad	Forty three	zipcusəksum	zipcusəksum
Jad	Forty four	zipcuserɡu	zipcuserɡu
Jad	Forty five	zipcusɑŋɑ	zipcusɑŋɑ
Jad	Forty six	zipcusɛrok	zipcusɛrok
Jad	Forty seven	zipcusəbdun	zipcusəbdun
Jad	Forty eight	zipcusɔbɡjət	zipcusɔbɡjət
Jad	Forty nine	zipcuserɡu	zipcuserɡu
Jad	Fifty	ŋəbcu	ŋəbcu
Jad	Fifty one	ŋəbcuŋɑkʃik	ŋəbcuŋɑkʃik
Jad	Fifty two	ŋəbcuŋeɡi	ŋəbcuŋeɡi
Jad	Fifty three	ŋəbcuŋɑksum	ŋəbcuŋɑksum
Jad	Fifty four	ŋəbcuŋebzi	ŋəbcuŋebzi
Jad	Fifty five	ŋəbcuŋɑŋɑ	ŋəbcuŋɑŋɑ
Jad	Fifty six	ŋəbcuŋɛrok	ŋəbcuŋɛrok
Jad	Fifty seven	ŋəbcuŋebdun	ŋəbcuŋebdun
Jad	Fifty eight	ŋəbcuŋebɡjet	ŋəbcuŋebɡjet
